Australia,"24,288","18,205","7,329","402,603","195,417","71,403","1,160","13,146","1,728",Good
Austria,"8,724","7,051","1,562","221,456","57,534","54,574",250,"3,235",333,Satisfactory
Belgium,"11,394","8,820","2,453","278,139","161,589","52,959",340,"5,900",502,Satisfactory
Brazil,"208,471","145,553","2,545","17,485","4,591","13,532",164,"3,996",227,Fair
Canada,"36,457","28,568","7,407","259,271","91,058","54,716","1,078","15,181","1,598",Good
Chile,"17,982","12,997",687,"52,829","20,141","18,794",57,"1,350",79,Good
China,"1,406,509","1,079,169","29,000","26,872","6,689","10,803","1,953","42,084","2,668",Good
Colombia,"48,860","33,239",643,"19,354","7,461","8,790",27,"1,282",40,Satisfactory
Czech Republic,"10,615","8,544",440,"51,472","23,083","22,894",30,873,43,Good
Denmark,"5,723","4,423","1,245","281,542","87,231","68,872",211,"2,326",301,Good
Finland,"5,513","4,312",686,"159,098","57,850","54,831",80,"1,845",114,Good
France,"64,850","49,239","12,969","263,399","119,720","49,644","1,949","28,056","2,783",Good
Germany,"82,014","67,244","13,714","203,946","47,091","50,676","1,959","28,173","2,756",Good
Greece,"11,172","9,020","1,007","111,684","54,665","22,091",88,"3,319",127,Good
Hungary,"9,737","7,846",312,"39,813","30,111","15,842",4,603,6,Satisfactory
India,"1,331,676","834,608","4,987","5,976","1,295","2,838",245,"6,136",340,Fair
Indonesia,"262,553","167,559","1,843","11,001","1,914","5,857",111,"2,663",153,Fair
Ireland,"4,744","3,434",853,"248,466","84,592","86,122",125,"1,786",179,Satisfactory
Israel,"8,257","5,315","1,054","198,406","78,244","59,299",120,"2,684",167,Good
Italy,"59,395","48,544","10,853","223,572","124,636","36,842","1,288","30,048","1,947",Good
Japan,"127,616","105,228","23,682","225,057","123,724","46,786","2,693","65,579","4,487",Good
Korea,"50,887","41,007","6,586","160,609","67,934","35,037",686,"19,146","1,003",Satisfactory
Mexico,"128,352","82,105","1,835","22,346","8,737","12,873",84,"3,526",123,Satisfactory
Netherlands,"17,012","13,193","2,692","204,045","94,373","57,919",335,"7,171",507,Good
New Zealand,"4,683","3,444","1,162","337,441","147,593","53,911",201,"2,101",301,Good
Norway,"5,280","4,013","1,286","320,475","130,543","94,521",201,"2,360",289,Satisfactory
Poland,"38,198","30,627",859,"28,057","10,302","15,596",57,"1,316",78,Satisfactory
Portugal,"10,351","8,383",750,"89,437","38,242","24,372",68,"2,273",99,Satisfactory
Russian Federation,"143,977","112,567","1,888","16,773","3,919","12,640",132,"2,184",175,Fair
Singapore,"5,666","4,462","1,199","268,776","108,850","66,100",152,"2,668",213,Good
South Africa,"56,366","34,834",761,"21,849","5,136","8,753",58,"1,536",84,Fair
Spain,"46,351","37,389","4,845","129,578","63,369","33,005",428,"15,890",627,Good
Sweden,"9,874","7,650","1,994","260,667","45,235","65,227",335,"2,764",470,Good
Switzerland,"8,439","6,753","3,630","537,599","229,059","98,395",594,"5,238",820,Good
Taiwan,"23,592","18,973","3,568","188,081","87,257","28,798",381,"10,245",545,Satisfactory
Thailand,"68,951","52,185",434,"8,311","1,624","8,007",30,498,40,Fair
United Kingdom,"65,985","50,617","14,073","278,038","102,641","50,754","2,189","27,770","3,296",Good
United States,"323,320","240,772","93,560","388,585","55,876","78,483","15,356","107,708","19,134",Good