"COUNTRY","Country","VAR","Variable","POPULATION","Population","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2012","2012",595820,,
"AUS","Australia","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",649993,,
"AUS","Australia","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2012","2012",231744.41,,
"AUS","Australia","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",251246.94,,
"AUS","Australia","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.7105079,,
"AUS","Australia","T1C7","Median net wealth per household (current prices)","TP","Total Population","2012","2012",365000,,
"AUS","Australia","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",380000,,
"AUS","Australia","SB60","Share of bottom 60% of wealth","TP","Total Population","2012","2012",17.284395,,
"AUS","Australia","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",16.535755,,
"AUS","Australia","ST1","Share of top 1% of wealth","TP","Total Population","2012","2012",13.272024,,
"AUS","Australia","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",14.997084,,
"AUS","Australia","ST10","Share of top 10% of wealth","TP","Total Population","2012","2012",44.909752,,
"AUS","Australia","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",46.465977,,
"AUS","Australia","ST5","Share of top 5% of wealth","TP","Total Population","2012","2012",32.171734,,
"AUS","Australia","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",33.513176,,
"AUT","Austria","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",265033,,
"AUT","Austria","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",258414,,
"AUT","Austria","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2011","2011",124685.84,,
"AUT","Austria","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",120788.17,,
"AUT","Austria","M2MR","Mean to median net wealth ratio","TP","Total Population","2011","2011",3.4669762,,
"AUT","Austria","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",3.0078218,,
"AUT","Austria","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",76445,,
"AUT","Austria","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",85914,,
"AUT","Austria","SB60","Share of bottom 60% of wealth","TP","Total Population","2011","2011",6.7608242,,
"AUT","Austria","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",8.0044022,,
"AUT","Austria","ST1","Share of top 1% of wealth","TP","Total Population","2011","2011",23.569071,,
"AUT","Austria","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",25.527975,,
"AUT","Austria","ST10","Share of top 10% of wealth","TP","Total Population","2011","2011",61.705608,,
"AUT","Austria","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",55.59053,,
"AUT","Austria","ST5","Share of top 5% of wealth","TP","Total Population","2011","2011",48.436672,,
"AUT","Austria","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",43.521667,,
"BEL","Belgium","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2010","2010",338636,,
"BEL","Belgium","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",330266,,
"BEL","Belgium","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2010","2010",146884.02,,
"BEL","Belgium","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",142071.38,,
"BEL","Belgium","M2MR","Mean to median net wealth ratio","TP","Total Population","2010","2010",1.6418794,,
"BEL","Belgium","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.5153779,,
"BEL","Belgium","T1C7","Median net wealth per household (current prices)","TP","Total Population","2010","2010",206249,,
"BEL","Belgium","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",217943,,
"BEL","Belgium","SB60","Share of bottom 60% of wealth","TP","Total Population","2010","2010",17.170317,,
"BEL","Belgium","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",18.985046,,
"BEL","Belgium","ST1","Share of top 1% of wealth","TP","Total Population","2010","2010",12.180297,,
"BEL","Belgium","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",12.05646,,
"BEL","Belgium","ST10","Share of top 10% of wealth","TP","Total Population","2010","2010",44.022743,,
"BEL","Belgium","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",42.495087,,
"BEL","Belgium","ST5","Share of top 5% of wealth","TP","Total Population","2010","2010",31.293131,,
"BEL","Belgium","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",29.708549,,
"CAN","Canada","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2012","2012",467400,,
"CAN","Canada","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2016","2016",574500,,
"CAN","Canada","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2012","2012",190995.14,,
"CAN","Canada","M2MR","Mean to median net wealth ratio","TP","Total Population","2012","2012",2.2067988,,
"CAN","Canada","T1C7","Median net wealth per household (current prices)","TP","Total Population","2012","2012",211800,,
"CAN","Canada","T1C7","Median net wealth per household (current prices)","TP","Total Population","2016","2016",258100,,
"CAN","Canada","SB60","Share of bottom 60% of wealth","TP","Total Population","2012","2012",12.485457,,
"CAN","Canada","ST1","Share of top 1% of wealth","TP","Total Population","2012","2012",15.502501,,
"CAN","Canada","ST10","Share of top 10% of wealth","TP","Total Population","2012","2012",50.309025,,
"CAN","Canada","ST5","Share of top 5% of wealth","TP","Total Population","2012","2012",36.498627,,
"CHL","Chile","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",27311206,,
"CHL","Chile","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",42427004,,
"CHL","Chile","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2011","2011",8369178,,
"CHL","Chile","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",12926527,,
"CHL","Chile","M2MR","Mean to median net wealth ratio","TP","Total Population","2011","2011",2.2324152,,
"CHL","Chile","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",2.3905494,,
"CHL","Chile","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",12233928,,
"CHL","Chile","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",17747804,,
"CHL","Chile","SB60","Share of bottom 60% of wealth","TP","Total Population","2011","2011",10.741879,,
"CHL","Chile","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",8.4905815,,
"CHL","Chile","ST1","Share of top 1% of wealth","TP","Total Population","2011","2011",18.358637,,
"CHL","Chile","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",17.398533,,
"CHL","Chile","ST10","Share of top 10% of wealth","TP","Total Population","2011","2011",55.510658,,
"CHL","Chile","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",57.710564,,
"CHL","Chile","ST5","Share of top 5% of wealth","TP","Total Population","2011","2011",41.671307,,
"CHL","Chile","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",42.665962,,
"DEU","Germany","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",195170,,
"DEU","Germany","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",214259,,
"DEU","Germany","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2011","2011",95490.969,,
"DEU","Germany","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",106195.14,,
"DEU","Germany","M2MR","Mean to median net wealth ratio","TP","Total Population","2011","2011",3.8001869,,
"DEU","Germany","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",3.5245764,,
"DEU","Germany","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",51358,,
"DEU","Germany","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",60790,,
"DEU","Germany","SB60","Share of bottom 60% of wealth","TP","Total Population","2011","2011",6.5495124,,
"DEU","Germany","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",6.4569225,,
"DEU","Germany","ST1","Share of top 1% of wealth","TP","Total Population","2011","2011",24.310295,,
"DEU","Germany","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",23.661791,,
"DEU","Germany","ST10","Share of top 10% of wealth","TP","Total Population","2011","2011",59.17305,,
"DEU","Germany","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",59.758945,,
"DEU","Germany","ST5","Share of top 5% of wealth","TP","Total Population","2011","2011",45.618721,,
"DEU","Germany","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",46.255795,,
"DNK","Denmark","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2015","2015",996949,,
"DNK","Denmark","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2015","2015",516777.78,,
"DNK","Denmark","M2MR","Mean to median net wealth ratio","TP","Total Population","2015","2015",4.6812372,,
"DNK","Denmark","T1C7","Median net wealth per household (current prices)","TP","Total Population","2015","2015",212967,,
"DNK","Denmark","SB60","Share of bottom 60% of wealth","TP","Total Population","2015","2015",-3.8514316,,
"DNK","Denmark","ST1","Share of top 1% of wealth","TP","Total Population","2015","2015",23.620983,,
"DNK","Denmark","ST10","Share of top 10% of wealth","TP","Total Population","2015","2015",63.976688,,
"DNK","Denmark","ST5","Share of top 5% of wealth","TP","Total Population","2015","2015",47.340378,,
"ESP","Spain","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",291352,,
"ESP","Spain","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2012","2012",273579,,
"ESP","Spain","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2009","2009",108654.52,,
"ESP","Spain","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2012","2012",103816.75,,
"ESP","Spain","M2MR","Mean to median net wealth ratio","TP","Total Population","2009","2009",1.5944835,,
"ESP","Spain","M2MR","Mean to median net wealth ratio","TP","Total Population","2012","2012",1.7137353,,
"ESP","Spain","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",182725,,
"ESP","Spain","T1C7","Median net wealth per household (current prices)","TP","Total Population","2012","2012",159639,,
"ESP","Spain","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",19.931084,,
"ESP","Spain","SB60","Share of bottom 60% of wealth","TP","Total Population","2012","2012",18.664709,,
"ESP","Spain","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",14.86978,,
"ESP","Spain","ST1","Share of top 1% of wealth","TP","Total Population","2012","2012",16.324175,,
"ESP","Spain","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",43.412403,,
"ESP","Spain","ST10","Share of top 10% of wealth","TP","Total Population","2012","2012",45.577541,,
"ESP","Spain","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",30.898333,,
"ESP","Spain","ST5","Share of top 5% of wealth","TP","Total Population","2012","2012",33.258755,,
"EST","Estonia","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",96994,,
"EST","Estonia","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2013","2013",43115.121,,
"EST","Estonia","M2MR","Mean to median net wealth ratio","TP","Total Population","2013","2013",2.2310805,,
"EST","Estonia","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",43474,,
"EST","Estonia","SB60","Share of bottom 60% of wealth","TP","Total Population","2013","2013",12.7863,,
"EST","Estonia","ST1","Share of top 1% of wealth","TP","Total Population","2013","2013",21.2271,,
"EST","Estonia","ST10","Share of top 10% of wealth","TP","Total Population","2013","2013",55.71339,,
"EST","Estonia","ST5","Share of top 5% of wealth","TP","Total Population","2013","2013",43.189041,,
"FIN","Finland","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",168842,,
"FIN","Finland","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",195328,,
"FIN","Finland","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2009","2009",81081.43,,
"FIN","Finland","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2013","2013",95374.484,,
"FIN","Finland","M2MR","Mean to median net wealth ratio","TP","Total Population","2009","2009",1.7493861,,
"FIN","Finland","M2MR","Mean to median net wealth ratio","TP","Total Population","2013","2013",1.775709,,
"FIN","Finland","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",96515,,
"FIN","Finland","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",110000,,
"FIN","Finland","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",13.706056,,
"FIN","Finland","SB60","Share of bottom 60% of wealth","TP","Total Population","2013","2013",13.552249,,
"FIN","Finland","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",12.141481,,
"FIN","Finland","ST1","Share of top 1% of wealth","TP","Total Population","2013","2013",13.307406,,
"FIN","Finland","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",43.719231,,
"FIN","Finland","ST10","Share of top 10% of wealth","TP","Total Population","2013","2013",45.231823,,
"FIN","Finland","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",29.746128,,
"FIN","Finland","ST5","Share of top 5% of wealth","TP","Total Population","2013","2013",31.374777,,
"FRA","France","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",233306,,
"FRA","France","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",243130,,
"FRA","France","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2009","2009",104059.54,,
"FRA","France","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",109554.8,,
"FRA","France","M2MR","Mean to median net wealth ratio","TP","Total Population","2009","2009",2.0167003,,
"FRA","France","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",2.145896,,
"FRA","France","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",115687,,
"FRA","France","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",113300,,
"FRA","France","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",11.642276,,
"FRA","France","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",12.110005,,
"FRA","France","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",17.934885,,
"FRA","France","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",18.645706,,
"FRA","France","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",49.971592,,
"FRA","France","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",50.586899,,
"FRA","France","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",36.537834,,
"FRA","France","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",37.260921,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",309700,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",340600,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",392400,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2015","2015",435500,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",164000,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",170500,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",168900,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2015","2015",183000,,
"GRC","Greece","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",147757,,
"GRC","Greece","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",104199,,
"GRC","Greece","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2009","2009",55972,,
"GRC","Greece","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",41414.074,,
"GRC","Greece","M2MR","Mean to median net wealth ratio","TP","Total Population","2009","2009",1.449536,,
"GRC","Greece","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.6016324,,
"GRC","Greece","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",101934,,
"GRC","Greece","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",65058,,
"GRC","Greece","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",20.207804,,
"GRC","Greece","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",17.925282,,
"GRC","Greece","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",8.2319765,,
"GRC","Greece","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",9.1551847,,
"GRC","Greece","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",38.784035,,
"GRC","Greece","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",42.423824,,
"GRC","Greece","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",25.447557,,
"GRC","Greece","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",28.775896,,
"HUN","Hungary","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",15553559,,
"HUN","Hungary","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",6620761,,
"HUN","Hungary","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.9397281,,
"HUN","Hungary","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",8018422,,
